DATE,USALORSGPNOSTSAM
2002-06-01,99.0192801298603
2002-07-01,98.9375457286982
2002-08-01,98.8367395978497
2002-09-01,98.7231851579391
2002-10-01,98.6080145807105
2002-11-01,98.5043930603407
2002-12-01,98.4248953855623
2003-01-01,98.3780884249117
2003-02-01,98.3709572934559
2003-03-01,98.4089443589121
2003-04-01,98.4930969763647
2003-05-01,98.6213388583942
2003-06-01,98.7863300897125
2003-07-01,98.9700388705675
2003-08-01,99.1509276933695
2003-09-01,99.3097470034673
2003-10-01,99.4355007306071
2003-11-01,99.5233158105579
2003-12-01,99.5745918523838
2004-01-01,99.5997870088212
2004-02-01,99.6124721600114
2004-03-01,99.625255475506
2004-04-01,99.6466402611685
2004-05-01,99.6820698297051
2004-06-01,99.7343770070213
2004-07-01,99.8032483570988
2004-08-01,99.8868565092067
2004-09-01,99.9823311622546
2004-10-01,100.085208601694
2004-11-01,100.189861172265
2004-12-01,100.289448060397
2005-01-01,100.375802830989
2005-02-01,100.441749803104
2005-03-01,100.484454837366
2005-04-01,100.510319941483
2005-05-01,100.529330796434
2005-06-01,100.550744368772
2005-07-01,100.57942750892
2005-08-01,100.618243911911
2005-09-01,100.670070541726
2005-10-01,100.739247099244
2005-11-01,100.828000031573
2005-12-01,100.931787100879
2006-01-01,101.033387218283
2006-02-01,101.111910135444
2006-03-01,101.152175771322
2006-04-01,101.155935714254
2006-05-01,101.13398433094
2006-06-01,101.101065863351
2006-07-01,101.072867940677
2006-08-01,101.062161328289
2006-09-01,101.074876527961
2006-10-01,101.105170818039
2006-11-01,101.143060095769
2006-12-01,101.18099661318
2007-01-01,101.220132480516
2007-02-01,101.265807663198
2007-03-01,101.323190443585
2007-04-01,101.392682595315
2007-05-01,101.471726142982
2007-06-01,101.55596310792
2007-07-01,101.639931923949
2007-08-01,101.71695903017
2007-09-01,101.779288397399
2007-10-01,101.818926877726
2007-11-01,101.829980700253
2007-12-01,101.81281564006
2008-01-01,101.780426964305
2008-02-01,101.746279392088
2008-03-01,101.713437454765
2008-04-01,101.66402099923
2008-05-01,101.568772613718
2008-06-01,101.397996010375
2008-07-01,101.13589937019
2008-08-01,100.778034689847
2008-09-01,100.335217267669
2008-10-01,99.8440361915084
2008-11-01,99.350025124436
2008-12-01,98.8947573015638
2009-01-01,98.5036777420153
2009-02-01,98.1924816937532
2009-03-01,97.9687741197327
2009-04-01,97.8279068630103
2009-05-01,97.762104341086
2009-06-01,97.7634585250561
2009-07-01,97.8214522190949
2009-08-01,97.9259145187207
2009-09-01,98.0658146334834
2009-10-01,98.2245988446022
2009-11-01,98.3866552331754
2009-12-01,98.5423386123598
2010-01-01,98.6926620198804
2010-02-01,98.8433694265539
2010-03-01,98.9991933011738
2010-04-01,99.1578848840105
2010-05-01,99.3129672247961
2010-06-01,99.4561271028509
2010-07-01,99.5797125557201
2010-08-01,99.6762491767831
2010-09-01,99.7391924731622
2010-10-01,99.7654519916516
2010-11-01,99.7552130901385
2010-12-01,99.7142016405073
2011-01-01,99.6583645722405
2011-02-01,99.6054727295018
2011-03-01,99.5676771322312
2011-04-01,99.5437455530326
2011-05-01,99.5283356044738
2011-06-01,99.5200616541247
2011-07-01,99.5287648435948
2011-08-01,99.5679612517321
2011-09-01,99.6459418163568
2011-10-01,99.7544946667391
2011-11-01,99.8776800260561
2011-12-01,99.998213142135
2012-01-01,100.102654853008
2012-02-01,100.180832996207
2012-03-01,100.226257743076
2012-04-01,100.238251011986
2012-05-01,100.219127230773
2012-06-01,100.173610892809
2012-07-01,100.110336350377
2012-08-01,100.039516567758
2012-09-01,99.97177858702
2012-10-01,99.917441941083
2012-11-01,99.8841881280936
2012-12-01,99.8736722017279
2013-01-01,99.8765054180155
2013-02-01,99.8805870595433
2013-03-01,99.8783215276912
2013-04-01,99.8736046340635
2013-05-01,99.8747446797318
2013-06-01,99.8874645212851
2013-07-01,99.9073887352753
2013-08-01,99.9246055954644
2013-09-01,99.927586895624
2013-10-01,99.9071929764332
2013-11-01,99.8601045627366
2013-12-01,99.793798462283
2014-01-01,99.7332778114867
2014-02-01,99.7080231540473
2014-03-01,99.7385790106348
2014-04-01,99.8205721609027
2014-05-01,99.9370667749392
2014-06-01,100.066999796492
2014-07-01,100.191041786273
2014-08-01,100.294384715837
2014-09-01,100.369886647947
2014-10-01,100.422601750379
2014-11-01,100.462087656731
2014-12-01,100.496259972259
2015-01-01,100.526147052297
2015-02-01,100.548345459312
2015-03-01,100.557730373777
2015-04-01,100.550666525464
2015-05-01,100.524530580375
2015-06-01,100.478377953167
2015-07-01,100.414939736157
2015-08-01,100.338931229054
2015-09-01,100.256590770043
2015-10-01,100.176114663092
2015-11-01,100.105020977993
2015-12-01,100.047403902361
2016-01-01,100.000532572229
2016-02-01,99.9593369354466
2016-03-01,99.9200846121907
2016-04-01,99.8836238657832
2016-05-01,99.8528167935196
2016-06-01,99.8297815053695
2016-07-01,99.8127365984927
2016-08-01,99.7982607375066
2016-09-01,99.7831037410739
2016-10-01,99.7657994232113
2016-11-01,99.7463123819889
2016-12-01,99.7258370955873
2017-01-01,99.706753647366
2017-02-01,99.692209336256
2017-03-01,99.6856078638719
2017-04-01,99.6897827334752
2017-05-01,99.7074027925965
2017-06-01,99.7406112009105
2017-07-01,99.7897070334205
2017-08-01,99.8539489423444
2017-09-01,99.9312192463695
2017-10-01,100.016602101787
2017-11-01,100.104546808722
2017-12-01,100.19045581784
2018-01-01,100.272100760764
2018-02-01,100.347818751914
2018-03-01,100.415031750054
2018-04-01,100.469215719541
2018-05-01,100.5050555086
2018-06-01,100.518572337607
2018-07-01,100.510602090945
2018-08-01,100.484970727991
2018-09-01,100.448263687057
2018-10-01,100.410923066265
2018-11-01,100.38406173756
2018-12-01,100.376424771045
2019-01-01,100.3906948808
2019-02-01,100.426020252189
2019-03-01,100.479021468526
2019-04-01,100.543344596678
2019-05-01,100.611997930129
2019-06-01,100.67893987729
2019-07-01,100.740422787588
2019-08-01,100.794486514682
2019-09-01,100.84090744581
2019-10-01,100.881743544754
2019-11-01,100.91821931455
2019-12-01,100.948081354955
2020-01-01,100.963340020829
2020-02-01,100.952075656159
2020-03-01,96.0785089018487
2020-04-01,93.0894095966939
2020-05-01,91.5728968151048
2020-06-01,93.3874583529584
2020-07-01,95.1800849839751
2020-08-01,96.9500673166957
2020-09-01,97.136333829695
2020-10-01,97.3274266389068
2020-11-01,97.5360790017162
2020-12-01,97.9111920728771
2021-01-01,98.3104885049416
2021-02-01,98.6903624143927
2021-03-01,98.9151812322181
2021-04-01,99.1005674626006
2021-05-01,99.2594175705464
2021-06-01,99.4368405768396
2021-07-01,99.6234446271637
2021-08-01,99.8143958182136
2021-09-01,99.9993203037286
2021-10-01,100.151788050441
2021-11-01,100.24144445556
2021-12-01,100.248561556477
2022-01-01,100.182995189318
2022-02-01,100.067669609354
2022-03-01,99.9271486742004
2022-04-01,99.7798662593706
2022-05-01,99.6373473253912
